,sigma,Al_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
146,0.2,1,-5,320.0,11.0,56,job__18_102480__320_000000__11_0,14537313,-3.71611343,235.32006010518407,-3.71531343,18.102479948783508,0.0221367400000001
147,0.2,1,-5,340.0,11.0,56,job__14_811120__340_000000__11_0,14537314,-3.70251187,210.84973703981967,-3.70181187,14.811120005160475,0.0264931299999999
148,0.2,1,-5,340.0,11.0,56,job__14_975688__340_000000__11_0,14537315,-3.71264948,213.41021788129223,-3.71194948,14.975687943223765,0.0109664199999999
149,0.2,1,-5,340.0,11.0,56,job__15_140256__340_000000__11_0,14537316,-3.72139956,215.59203606311044,-3.72069956,15.1402559281593,0.02572937
150,0.2,1,-5,340.0,11.0,56,job__15_304824__340_000000__11_0,14537317,-3.7288707,217.7287753568745,-3.7281707,15.304824014040012,0.0253924100000002
151,0.2,1,-5,340.0,11.0,56,job__15_469392__340_000000__11_0,14537318,-3.73517008,220.27122464312544,-3.73447008,15.46939195324227,0.0250805
152,0.2,1,-5,340.0,11.0,56,job__15_633960__340_000000__11_0,14537319,-3.74033536,222.9038317054846,-3.73963536,15.633960106125867,0.0247918399999997
153,0.2,1,-5,340.0,11.0,56,job__15_798528__340_000000__11_0,14537320,-3.74439061,224.98347107438016,-3.74369061,15.7985280109301,0.0245245899999999
154,0.2,1,-5,340.0,11.0,56,job__15_963096__340_000000__11_0,14537321,-3.74743677,227.1517655897821,-3.74673677,15.963096009423694,0.0242765199999999
155,0.2,1,-5,340.0,11.0,56,job__16_127664__340_000000__11_0,14537322,-3.74954419,229.4417731029301,-3.74884419,16.127664046770466,0.02404494
156,0.2,1,-5,340.0,11.0,56,job__16_292232__340_000000__11_0,14537323,-3.7507251,232.1104432757325,-3.7500251,16.292231879585028,0.0238303700000002
157,0.2,1,-5,340.0,11.0,56,job__16_456800__340_000000__11_0,14537324,-3.75104745,234.4725770097671,-3.75034745,16.456800027713822,0.0236304699999996
158,0.2,1,-5,340.0,11.0,56,job__16_621368__340_000000__11_0,14537325,-3.75055223,236.51014274981216,-3.74985223,16.621368057364204,0.0234425100000001
159,0.2,1,-5,340.0,11.0,56,job__16_785936__340_000000__11_0,14537326,-3.74929385,238.92637114951165,-3.74859385,16.785936017329465,0.0232664599999998
160,0.2,1,-5,340.0,11.0,56,job__16_950504__340_000000__11_0,14537327,-3.74730741,241.3606311044328,-3.74660741,16.95050393855773,0.0231003700000003
161,0.2,1,-5,340.0,11.0,56,job__17_115072__340_000000__11_0,14537328,-3.74464574,243.60255447032307,-3.74394574,17.11507206741567,0.0229426099999998
162,0.2,1,-5,340.0,11.0,56,job__17_279640__340_000000__11_0,14537329,-3.74132497,245.49586776859505,-3.74062497,17.27964009818471,0.02279206
163,0.2,1,-5,340.0,11.0,56,job__17_444208__340_000000__11_0,14537330,-3.73740779,248.5206611570248,-3.73670779,17.44420790217213,0.0226518000000002
164,0.2,1,-5,340.0,11.0,56,job__17_608776__340_000000__11_0,14537331,-3.73291135,250.73854244928623,-3.73221135,17.608776029999344,0.0225175699999997
165,0.2,1,-5,340.0,11.0,56,job__17_773344__340_000000__11_0,14537332,-3.72787218,253.20886551465065,-3.72717218,17.7733439162409,0.0223891700000002
166,0.2,1,-5,340.0,11.0,56,job__17_937912__340_000000__11_0,14537333,-3.72231077,255.22839969947407,-3.72161077,17.937911902437854,0.0222649499999998
167,0.2,1,-5,340.0,11.0,56,job__18_102480__340_000000__11_0,14537334,-3.71631722,257.572501878287,-3.71561722,18.102479948783508,0.0221766199999997
168,0.2,1,-5,360.0,11.0,56,job__14_811120__360_000000__11_0,14537335,-3.70285326,229.5319308790384,-3.70225326,14.811120005160475,0.0264914499999999
169,0.2,1,-5,360.0,11.0,56,job__14_975688__360_000000__11_0,14537336,-3.71293143,232.16453794139744,-3.71233143,14.975687943223765,0.0260976100000003
170,0.2,1,-5,360.0,11.0,56,job__15_140256__360_000000__11_0,14537337,-3.7216696,234.65289256198344,-3.7210696,15.1402559281593,0.0257345900000003
