,sigma,Pt_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
95,0.2,1,-5,280.0,11.0,56,job__15_795693__280_000000__11_0,14551502,-5.56435821,168.236664162284,-4.2040582099999995,15.795693112525244,4.7999999999603915e-05
96,0.2,1,-5,280.0,11.0,56,job__15_952086__280_000000__11_0,14551506,-5.55314508,169.82344102178814,-4.19284508,15.952086067748468,4.8890000000412215e-05
97,0.2,1,-5,280.0,11.0,56,job__16_108479__280_000000__11_0,14551510,-5.55942959,171.6671675432006,-4.19912959,16.10847896082863,6.040000000595569e-06
98,0.2,1,-5,280.0,11.0,56,job__16_264872__280_000000__11_0,14551516,-5.53464942,173.10969196093163,-4.17434942,16.26487207288452,0.018123189999999845
99,0.2,1,-5,280.0,11.0,56,job__16_421265__280_000000__11_0,14551520,-5.51658835,174.6604057099925,-4.1562883500000005,16.421264900949566,5.0139999999920803e-05
100,0.2,1,-5,280.0,11.0,56,job__16_577658__280_000000__11_0,14551523,-5.49186994,176.16303531179565,-4.13156994,16.57765808372008,0.017319930000000205
101,0.2,1,-5,280.0,11.0,56,job__16_734051__280_000000__11_0,14551526,-5.47303741,177.76784372652142,-4.112737409999999,16.73405095057004,5.0719999999948584e-05
102,0.2,1,-5,280.0,11.0,56,job__16_890444__280_000000__11_0,14551530,-5.492416,179.89556724267467,-4.132116,16.89044395449491,0.016193909999999256
103,0.2,1,-5,280.0,11.0,56,job__17_046837__280_000000__11_0,14551535,-5.45619835,181.30202854996244,-4.095898350000001,17.046836941467845,4.389999999965255e-06
104,0.2,1,-5,280.0,11.0,56,job__17_203230__280_000000__11_0,14551539,-5.46373078,183.35762584522914,-4.10343078,17.203229874204276,4.799999999249849e-06
105,0.2,1,-5,300.0,11.0,56,job__14_075370__300_000000__11_0,14551544,-5.72222867,166.0909090909091,-5.01572867,14.075369968222544,1.9019999999869697e-05
106,0.2,1,-5,300.0,11.0,56,job__14_231763__300_000000__11_0,14551547,-5.75534282,167.98422238918107,-5.04884282,14.231763074011697,3.999999975690116e-08
107,0.2,1,-5,300.0,11.0,56,job__14_388156__300_000000__11_0,14551552,-5.78192782,169.82344102178814,-5.07542782,14.388155910879137,1.7259999999907905e-05
108,0.2,1,-5,300.0,11.0,56,job__14_544549__300_000000__11_0,14551557,-5.80486368,171.6671675432006,-5.09836368,14.544549108870083,4.0200000004375624e-06
109,0.2,1,-5,300.0,11.0,56,job__14_700942__300_000000__11_0,14551562,-5.81063,173.1457550713749,-5.10413,14.700942105541351,3.876999999974373e-05
110,0.2,1,-5,300.0,11.0,56,job__14_857335__300_000000__11_0,14551566,-5.84356653,175.45980465815177,-5.13706653,14.857334906763892,3.863000000059458e-05
111,0.2,1,-5,300.0,11.0,56,job__15_013728__300_000000__11_0,14551571,-5.84896457,177.1367392937641,-5.14246457,15.013728084698805,3.716999999969772e-05
112,0.2,1,-5,300.0,11.0,56,job__15_170121__300_000000__11_0,14551575,-5.8557884,178.9038317054846,-5.1492884,15.170120922697123,4.179999999465167e-06
113,0.2,1,-5,300.0,11.0,56,job__15_326514__300_000000__11_0,14551581,-5.8644169,180.79714500375658,-5.1579169,15.32651391499211,0.01662006000000016
114,0.2,1,-5,300.0,11.0,56,job__15_482907__300_000000__11_0,14551586,-5.86240898,182.51014274981216,-5.1559089799999995,15.482906910314732,3.496999999974548e-05
115,0.2,1,-5,300.0,11.0,56,job__15_639300__300_000000__11_0,14551590,-5.8819659,184.89030803906837,-5.1754659,15.63930001600553,3.414000000034889e-05
116,0.2,1,-5,300.0,11.0,56,job__15_795693__300_000000__11_0,14551595,-5.87615356,186.60330578512398,-5.1696535599999995,15.795693112525244,3.3119999999442484e-05
117,0.2,1,-5,300.0,11.0,56,job__15_952086__300_000000__11_0,14551597,-5.86225846,188.15852742299023,-5.1557584599999995,15.952086067748468,3.3679999999591814e-05
118,0.2,1,-5,300.0,11.0,56,job__16_108479__300_000000__11_0,14551605,-5.85743229,190.06085649887302,-5.15093229,16.10847896082863,0.015398440000000235
119,0.2,1,-5,300.0,11.0,56,job__16_264872__300_000000__11_0,14551607,-5.85146601,191.9601803155522,-5.14496601,16.26487207288452,0.015013149999999698
120,0.2,1,-5,300.0,11.0,56,job__16_421265__300_000000__11_0,14551612,-5.84391234,193.87152516904584,-5.13741234,16.421264900949566,0.014622310000000027
121,0.2,1,-5,300.0,11.0,56,job__16_577658__300_000000__11_0,14551617,-5.82612942,195.5304282494365,-5.11962942,16.57765808372008,2.4169999999656966e-05
122,0.2,1,-5,300.0,11.0,56,job__16_734051__300_000000__11_0,14551620,-5.8072293,197.24342599549212,-5.1007293,16.73405095057004,2.318000000034459e-05
123,0.2,1,-5,300.0,11.0,56,job__16_890444__300_000000__11_0,14551626,-5.80057728,199.3350864012021,-5.09407728,16.89044395449491,0.013530090000000605
124,0.2,1,-5,300.0,11.0,56,job__17_046837__300_000000__11_0,14551630,-5.78617821,201.22839969947407,-5.07967821,17.046836941467845,0.013131800000000027
125,0.2,1,-5,300.0,11.0,56,job__17_203230__300_000000__11_0,14551635,-5.76111512,202.8512396694215,-5.05461512,17.203229874204276,0.012757999999999825
126,0.2,1,-5,320.0,11.0,56,job__14_075370__320_000000__11_0,14551640,-5.82683496,183.35762584522914,-5.46093496,14.075369968222544,1.86399999995146e-05
127,0.2,1,-5,320.0,11.0,56,job__14_231763__320_000000__11_0,14551643,-5.85189136,184.96243425995493,-5.48599136,14.231763074011697,1.793000000027689e-05
128,0.2,1,-5,320.0,11.0,56,job__14_388156__320_000000__11_0,14551648,-5.87890475,186.96393688955672,-5.51300475,14.388155910879137,1.7390000000006012e-05
129,0.2,1,-5,320.0,11.0,56,job__14_544549__320_000000__11_0,14551653,-5.90308685,189.0601051840721,-5.53718685,14.544549108870083,9.900000002005527e-07
130,0.2,1,-5,320.0,11.0,56,job__14_700942__320_000000__11_0,14551658,-5.92419923,191.20285499624342,-5.55829923,14.700942105541351,0.01564055999999958
131,0.2,1,-5,320.0,11.0,56,job__14_857335__320_000000__11_0,14551663,-5.93807719,193.0961682945154,-5.57217719,14.857334906763892,0.01546154000000044
132,0.2,1,-5,320.0,11.0,56,job__15_013728__320_000000__11_0,14551666,-5.95470969,195.38617580766342,-5.58880969,15.013728084698805,0.015258380000000571
133,0.2,1,-5,320.0,11.0,56,job__15_170121__320_000000__11_0,14551672,-5.95897428,197.099173553719,-5.59307428,15.170120922697123,0.015086070000000618
134,0.2,1,-5,320.0,11.0,56,job__15_326514__320_000000__11_0,14551676,-5.96493634,199.10067618332081,-5.5990363400000005,15.32651391499211,0.014869069999999596
135,0.2,1,-5,320.0,11.0,56,job__15_482907__320_000000__11_0,14551679,-5.97035481,201.22839969947407,-5.60445481,15.482906910314732,0.014637140000000493
136,0.2,1,-5,320.0,11.0,56,job__15_639300__320_000000__11_0,14551684,-5.96922908,203.12171299774604,-5.60332908,15.63930001600553,0.014395630000000104
137,0.2,1,-5,320.0,11.0,56,job__15_795693__320_000000__11_0,14551687,-5.96696419,205.1051840721262,-5.60106419,15.795693112525244,0.014105080000000214
138,0.2,1,-5,320.0,11.0,56,job__15_952086__320_000000__11_0,14551692,-5.96737814,207.40570999248686,-5.60147814,15.952086067748468,0.013799230000000051
139,0.2,1,-5,320.0,11.0,56,job__16_108479__320_000000__11_0,14551695,-5.96292795,209.53343350864012,-5.59702795,16.10847896082863,8.999999999481645e-06
140,0.2,1,-5,320.0,11.0,56,job__16_264872__320_000000__11_0,14551699,-5.9562097,211.64312546957174,-5.5903097,16.26487207288452,0.013213350000000013
141,0.2,1,-5,320.0,11.0,56,job__16_421265__320_000000__11_0,14551703,-5.94264814,213.41021788129225,-5.57674814,16.421264900949566,0.012913290000000188
