,sigma,Ag_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
116,0.2,1,-5,300.0,11.0,56,job__18_016683__300_000000__11_0,14537878,-0.3965216,212.63486100676184,0.6821784,18.01668287120561,0.01371584
117,0.2,1,-5,300.0,11.0,56,job__18_195066__300_000000__11_0,14537879,-0.39316747,214.72652141247184,0.6855325299999999,18.19506603890903,0.0140063599999999
118,0.2,1,-5,300.0,11.0,56,job__18_373449__300_000000__11_0,14537880,-0.36925218,216.4845980465815,0.7094478200000001,18.37344896277561,0.01382713
119,0.2,1,-5,300.0,11.0,56,job__18_551832__300_000000__11_0,14537881,-0.38640881,218.97295266716756,0.69229119,18.551831923459275,0.0147001199999999
120,0.2,1,-5,300.0,11.0,56,job__18_730215__300_000000__11_0,14537882,-0.37428957,220.99248685199095,0.70441043,18.730214899277904,0.0148717899999999
121,0.2,1,-5,300.0,11.0,56,job__18_908598__300_000000__11_0,14537883,-0.37697536,223.31855747558228,0.70172464,18.90859807570966,0.0154675499999999
122,0.2,1,-5,300.0,11.0,56,job__19_086981__300_000000__11_0,14537884,-0.35983809,225.2719759579264,0.71886191,19.08698102554078,0.01562605
123,0.2,1,-5,300.0,11.0,56,job__19_265364__300_000000__11_0,14537885,-0.33977571,227.1517655897821,0.7389242899999999,19.265364031895256,1.22769662
124,0.2,1,-5,300.0,11.0,56,job__19_443747__300_000000__11_0,14537886,-0.33861137,229.4417731029301,0.74008863,19.44374700200359,1.22852181
125,0.2,1,-5,300.0,11.0,56,job__19_622130__300_000000__11_0,14537887,-0.33517662,231.67768595041323,0.7435233800000001,19.622129990663197,9.76999999996453e-06
126,0.2,1,-5,320.0,11.0,56,job__16_054470__320_000000__11_0,14537888,-0.53543471,208.55972952667167,-0.01913471,16.05446993531393,0.03439449
127,0.2,1,-5,320.0,11.0,56,job__16_232853__320_000000__11_0,14537889,-0.54792729,210.84973703981967,-0.0316272899999999,16.23285302914787,1.996999999998028e-05
128,0.2,1,-5,320.0,11.0,56,job__16_411236__320_000000__11_0,14537890,-0.56326391,213.41021788129223,-0.04696391,16.41123592672458,0.03447253
129,0.2,1,-5,320.0,11.0,56,job__16_589619__320_000000__11_0,14537891,-0.57525544,215.862509391435,-0.0589554399999999,16.589619028576752,0.0001777799999999
130,0.2,1,-5,320.0,11.0,56,job__16_768002__320_000000__11_0,14537892,-0.57362182,217.7287753568745,-0.0573218199999999,16.768001949930003,0.03432804
131,0.2,1,-5,320.0,11.0,56,job__16_946385__320_000000__11_0,14537893,-0.58389203,220.27122464312544,-0.06759203,16.94638496166303,1.1278964500000002
132,0.2,1,-5,320.0,11.0,56,job__17_124768__320_000000__11_0,14537894,-0.59432833,222.9038317054846,-0.0780283299999999,17.12476798345421,0.03490429
133,0.2,1,-5,320.0,11.0,56,job__17_303151__320_000000__11_0,14537895,-0.59168763,224.98347107438016,-0.07538763,17.303151052251525,0.0348510499999999
134,0.2,1,-5,320.0,11.0,56,job__17_481534__320_000000__11_0,14537896,-0.58953894,227.1517655897821,-0.0732389399999999,17.481534048080317,0.00964971
135,0.2,1,-5,320.0,11.0,56,job__17_659917__320_000000__11_0,14537897,-0.58866738,229.4417731029301,-0.0723673799999999,17.65991692225073,0.0350425
136,0.2,1,-5,320.0,11.0,56,job__17_838300__320_000000__11_0,14537898,-0.5949588,232.1104432757325,-0.0786588,17.83829993611712,0.0095388199999999
137,0.2,1,-5,320.0,11.0,56,job__18_016683__320_000000__11_0,14537899,-0.58836624,234.18407212622088,-0.07206624,18.01668287120561,0.00939444
138,0.2,1,-5,320.0,11.0,56,job__18_195066__320_000000__11_0,14537900,-0.58208786,236.36589030803907,-0.06578786,18.19506603890903,0.00926755
139,0.2,1,-5,320.0,11.0,56,job__18_373449__320_000000__11_0,14537901,-0.58294625,238.92637114951165,-0.06664625,18.37344896277561,0.00923876
140,0.2,1,-5,320.0,11.0,56,job__18_551832__320_000000__11_0,14537902,-0.57465592,241.0540946656649,-0.05835592,18.551831923459275,0.03640089
141,0.2,1,-5,320.0,11.0,56,job__18_730215__320_000000__11_0,14537903,-0.57141216,243.49436513899323,-0.0551121599999999,18.730214899277904,0.03681792
142,0.2,1,-5,320.0,11.0,56,job__18_908598__320_000000__11_0,14537904,-0.55870369,245.49586776859505,-0.0424036899999999,18.90859807570966,0.0369153199999999
143,0.2,1,-5,320.0,11.0,56,job__19_086981__320_000000__11_0,14537905,-0.55952003,248.1960931630353,-0.0432200299999999,19.08698102554078,0.03755306
144,0.2,1,-5,320.0,11.0,56,job__19_265364__320_000000__11_0,14537906,-0.55040692,250.4139744552968,-0.03410692,19.265364031895256,1.16953557
145,0.2,1,-5,320.0,11.0,56,job__19_443747__320_000000__11_0,14537907,-0.54066037,252.61382419233655,-0.02436037,19.44374700200359,0.0381939999999999
146,0.2,1,-5,320.0,11.0,56,job__19_622130__320_000000__11_0,14537908,-0.53826972,255.22839969947407,-0.0219697199999999,19.622129990663197,0.038851
147,0.2,1,-5,340.0,11.0,56,job__16_054470__340_000000__11_0,14537909,-0.57288112,228.2336589030804,-0.29888112,16.05446993531393,0.0462012199999999
148,0.2,1,-5,340.0,11.0,56,job__16_232853__340_000000__11_0,14537910,-0.58457347,230.61382419233655,-0.31057347,16.23285302914787,0.0461010899999999
149,0.2,1,-5,340.0,11.0,56,job__16_411236__340_000000__11_0,14537911,-0.59719389,233.31855747558228,-0.32319389,16.41123592672458,0.01396922
150,0.2,1,-5,340.0,11.0,56,job__16_589619__340_000000__11_0,14537912,-0.60738914,235.96919609316305,-0.33338914,16.589619028576752,0.04633472
151,0.2,1,-5,340.0,11.0,56,job__16_768002__340_000000__11_0,14537913,-0.61711707,238.78211870773853,-0.34311707,16.768001949930003,0.0139085999999999
152,0.2,1,-5,340.0,11.0,56,job__16_946385__340_000000__11_0,14537914,-0.62358057,241.3606311044328,-0.34958057,16.94638496166303,0.0138589099999999
153,0.2,1,-5,340.0,11.0,56,job__17_124768__340_000000__11_0,14537915,-0.62587471,243.60255447032307,-0.3518747099999999,17.12476798345421,0.01375942
154,0.2,1,-5,340.0,11.0,56,job__17_303151__340_000000__11_0,14537916,-0.62450432,245.5229151014275,-0.35050432,17.303151052251525,0.0136187399999999
155,0.2,1,-5,340.0,11.0,56,job__17_481534__340_000000__11_0,14537917,-0.631286,248.7009767092412,-0.357286,17.481534048080317,0.0136389299999999
156,0.2,1,-5,340.0,11.0,56,job__17_659917__340_000000__11_0,14537918,-0.63184507,251.1712997746056,-0.35784507,17.65991692225073,0.0135775299999999
157,0.2,1,-5,340.0,11.0,56,job__17_838300__340_000000__11_0,14537919,-0.63261337,253.82193839218635,-0.3586133699999999,17.83829993611712,0.01353439
158,0.2,1,-5,340.0,11.0,56,job__18_016683__340_000000__11_0,14537920,-0.6318938,256.4365138993238,-0.3578937999999999,18.01668287120561,0.01348356
159,0.2,1,-5,340.0,11.0,56,job__18_195066__340_000000__11_0,14537921,-0.62839365,258.8347107438017,-0.35439365,18.19506603890903,0.0134032899999999
160,0.2,1,-5,340.0,11.0,56,job__18_373449__340_000000__11_0,14537922,-0.62558928,261.41322314049586,-0.35158928,18.37344896277561,0.0485092
161,0.2,1,-5,340.0,11.0,56,job__18_551832__340_000000__11_0,14537923,-0.62165429,263.92561983471074,-0.34765429,18.551831923459275,1.14399725
162,0.2,1,-5,340.0,11.0,56,job__18_730215__340_000000__11_0,14537924,-0.62069793,267.00901577761084,-0.3466979299999999,18.730214899277904,0.04967673
163,0.2,1,-5,340.0,11.0,56,job__18_908598__340_000000__11_0,14537925,-0.61491466,269.443275732532,-0.3409146599999999,18.90859807570966,0.05000588
164,0.2,1,-5,340.0,11.0,56,job__19_086981__340_000000__11_0,14537926,-0.60620315,271.5755071374906,-0.33220315,19.08698102554078,0.05021215
165,0.2,1,-5,340.0,11.0,56,job__19_265364__340_000000__11_0,14537927,-0.60110758,274.3163035311796,-0.3271075799999999,19.265364031895256,0.05079979
166,0.2,1,-5,340.0,11.0,56,job__19_443747__340_000000__11_0,14537928,-0.59428966,276.87678437265214,-0.32028966,19.44374700200359,0.0511815799999999
167,0.2,1,-5,340.0,11.0,56,job__19_622130__340_000000__11_0,14537929,-0.586765,279.4102178812923,-0.3127649999999999,19.622129990663197,6.300000000014627e-06
168,0.2,1,-5,360.0,11.0,56,job__16_054470__360_000000__11_0,14537930,-0.58161565,249.36814425244177,-0.3897156500000001,16.05446993531393,0.0158416099999999
169,0.2,1,-5,360.0,11.0,56,job__16_232853__360_000000__11_0,14537931,-0.59448709,251.8564988730278,-0.40258709,16.23285302914787,0.00021362
170,0.2,1,-5,360.0,11.0,56,job__16_411236__360_000000__11_0,14537932,-0.60572427,254.5251690458302,-0.41382427,16.41123592672458,0.0002212799999999
171,0.2,1,-5,360.0,11.0,56,job__16_589619__360_000000__11_0,14537933,-0.6153983,257.2659654395192,-0.4234983,16.589619028576752,0.01574101
172,0.2,1,-5,360.0,11.0,56,job__16_768002__360_000000__11_0,14537934,-0.62379378,260.31329827197595,-0.43189378,16.768001949930003,0.0002378599999999
