,sigma,Cu_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
1222,0.2,1,-5,400.0,19.0,220,job__11_268344__400_000000__19_0,14519724,-3.68163624,204.609855664091,-3.44153624,11.26834401530571,0.53599328
1223,0.2,1,-5,400.0,19.0,220,job__11_388220__400_000000__19_0,14519725,-3.68987009,206.8754920542353,-3.44977009,11.388220018438572,0.022936200000000184
1224,0.2,1,-5,400.0,19.0,220,job__11_508096__400_000000__19_0,14519726,-3.69553514,208.99358507071003,-3.45543514,11.508096041609539,4.623000000014699e-05
1225,0.2,1,-5,400.0,19.0,220,job__11_627972__400_000000__19_0,14519727,-3.70052405,211.23297856830442,-3.46042405,11.627972070313696,0.02222136000000008
1226,0.2,1,-5,400.0,19.0,220,job__11_747848__400_000000__19_0,14519728,-3.70353562,213.37089954803906,-3.46343562,11.747847910787167,0.5721400400000003
1227,0.2,1,-5,400.0,19.0,220,job__11_867724__400_000000__19_0,14519729,-3.70590688,215.60766875637847,-3.46580688,11.867723955280354,0.5806396199999999
1228,0.2,1,-5,400.0,19.0,220,job__11_987600__400_000000__19_0,14519730,-3.70603333,217.68960489867328,-3.46593333,11.987599999437174,0.5889874100000001
1229,0.2,1,-5,400.0,19.0,220,job__12_107476__400_000000__19_0,14519731,-3.70633437,219.96515527044758,-3.46623437,12.107476005107518,0.59696316
1230,0.2,1,-5,400.0,19.0,220,job__12_227352__400_000000__19_0,14519732,-3.70427744,222.04534188657237,-3.46417744,12.227352092537338,0.6047732199999998
1231,0.2,1,-5,400.0,19.0,220,job__12_347228__400_000000__19_0,14519733,-3.70315483,224.40720221606648,-3.46305483,12.34722792683572,0.6118977699999997
1232,0.2,1,-5,400.0,19.0,220,job__12_467104__400_000000__19_0,14519734,-3.69918108,226.50400933080624,-3.45908108,12.46710391000743,0.019640180000000118
1233,0.2,1,-5,400.0,19.0,220,job__12_586980__400_000000__19_0,14519735,-3.69394302,228.54162414346115,-3.45384302,12.586979965738319,0.6265114
1234,0.2,1,-5,400.0,19.0,220,job__12_706856__400_000000__19_0,14519736,-3.69005395,230.88948826359527,-3.44995395,12.706855923925168,0.018877980000000072
1235,0.2,1,-5,400.0,19.0,220,job__12_826732__400_000000__19_0,14519737,-3.68322306,232.90844146377023,-3.44312306,12.826731920937846,0.018462180000000217
1236,0.2,1,-5,400.0,19.0,220,job__12_946608__400_000000__19_0,14519738,-3.67773135,235.23881032220442,-3.43763135,12.94660798183227,0.64730227
1237,0.2,1,-5,400.0,19.0,220,job__13_066484__400_000000__19_0,14519739,-3.670755,237.44671234873888,-3.4306550000000002,13.066484006500637,0.017698239999999643
1238,0.2,1,-5,400.0,19.0,220,job__13_186360__400_000000__19_0,14519740,-3.66293378,239.6094182825485,-3.42283378,13.186359966886624,0.8026473700000003
1239,0.2,1,-5,400.0,21.0,286,job__10_788840__400_000000__21_0,14519741,-3.63535375,195.95216499298132,-3.39525375,10.788840043144676,0.4968238500000002
1240,0.2,1,-5,400.0,21.0,286,job__10_908716__400_000000__21_0,14519742,-3.65048439,198.22492171471762,-3.41038439,10.908716080582742,0.5069638100000002
1241,0.2,1,-5,400.0,21.0,286,job__11_028592__400_000000__21_0,14519743,-3.66247702,200.3292301047403,-3.42237702,11.02859192202126,0.5169146099999997
