,sigma,Ir_sv_GW,ismear,encut,n_kpts,n_equ_kpts,job_name,job_id,energy_tot,avg. plane waves,energy_tot_wo_kin_corr,volume,el_conv
7638,0.2,1,-5,1200.0,65.0,6545,job__15_937680__1200_000000__65_0,14573263,-9.29090363,1504.3782066454255,-9.289203630000001,15.937679887966002,0.00010283999999849414
7639,0.2,1,-5,1200.0,67.0,7140,job__13_039920__1200_000000__67_0,14573265,-9.22554504,1230.836116809581,-9.22384504,13.039920074055445,0.015536620000000667
7640,0.2,1,-5,1200.0,67.0,7140,job__13_184808__1200_000000__67_0,14573266,-9.26601255,1244.5314516745743,-9.26431255,13.184807943523353,0.00033054000000021233
7641,0.2,1,-5,1200.0,67.0,7140,job__13_329696__1200_000000__67_0,14573268,-9.30104647,1258.2013778290548,-9.29934647,13.329696018884235,0.9842621200000004
7642,0.2,1,-5,1200.0,67.0,7140,job__13_474584__1200_000000__67_0,14573269,-9.33096558,1271.8890521772958,-9.329265580000001,13.47458391231667,0.00035576999999875625
7643,0.2,1,-5,1200.0,67.0,7140,job__13_619472__1200_000000__67_0,14573270,-9.35607071,1285.5548089359395,-9.35437071,13.619471999757408,0.0003690800000004657
7644,0.2,1,-5,1200.0,67.0,7140,job__13_764360__1200_000000__67_0,14573271,-9.37664361,1299.2235713834482,-9.37494361,13.764359906920996,1.0413449499999992
7645,0.2,1,-5,1200.0,67.0,7140,job__13_909248__1200_000000__67_0,14573272,-9.39295059,1312.9004398812353,-9.39125059,13.909247991834121,1.0596357699999999
7646,0.2,1,-5,1200.0,67.0,7140,job__14_054136__1200_000000__67_0,14573273,-9.4052417,1326.5895505763674,-9.4035417,14.054136029839507,0.00041340000000111843
7647,0.2,1,-5,1200.0,67.0,7140,job__14_199024__1200_000000__67_0,14573276,-9.41375275,1340.2503333189256,-9.41205275,14.199024060447286,1.095116749999999
7648,0.2,1,-5,1200.0,67.0,7140,job__14_343912__1200_000000__67_0,14573277,-9.41870587,1353.937395889787,-9.41700587,14.343911931818813,1.1123071800000002
7649,0.2,1,-5,1200.0,67.0,7140,job__14_488800__1200_000000__67_0,14573279,-9.42031251,1367.6062979821322,-9.41861251,14.488799950481377,1.1291315099999988
7650,0.2,1,-5,1200.0,67.0,7140,job__14_633688__1200_000000__67_0,14573281,-9.4187704,1381.27301230537,-9.4170704,14.633687975199452,0.01511617000000065
7651,0.2,1,-5,1200.0,67.0,7140,job__14_778576__1200_000000__67_0,14573283,-9.41426646,1394.9694643290563,-9.41256646,14.778576068418321,1.1616891899999988
7652,0.2,1,-5,1200.0,67.0,7140,job__14_923464__1200_000000__67_0,14573286,-9.40697885,1408.6393705342746,-9.40527885,14.92346402915186,0.00010347000000088258
7653,0.2,1,-5,1200.0,67.0,7140,job__15_068352__1200_000000__67_0,14573287,-9.39707354,1422.2979987564959,-9.39537354,15.068352061095965,0.0005399500000002888
7654,0.2,1,-5,1200.0,67.0,7140,job__15_213240__1200_000000__67_0,14573289,-9.38470766,1435.9927151943557,-9.38300766,15.213240075089548,0.00010325000000044326
7655,0.2,1,-5,1200.0,67.0,7140,job__15_358128__1200_000000__67_0,14573290,-9.37002882,1449.6490559011581,-9.36832882,15.358127899215242,1.2224958499999996
7656,0.2,1,-5,1200.0,67.0,7140,job__15_503016__1200_000000__67_0,14573291,-9.35317792,1463.367492011983,-9.35147792,15.50301596788761,1.8500000003029982e-06
7657,0.2,1,-5,1200.0,67.0,7140,job__15_647904__1200_000000__67_0,14573292,-9.33428631,1477.0158264148183,-9.33258631,15.647903909171479,0.0006233099999999325
7658,0.2,1,-5,1200.0,67.0,7140,job__15_792792__1200_000000__67_0,14573293,-9.31348015,1490.6873285610266,-9.31178015,15.792791934619842,0.0006442900000003249
7659,0.2,1,-5,1200.0,67.0,7140,job__15_937680__1200_000000__67_0,14573294,-9.29087774,1504.3767584443565,-9.289177740000001,15.937679887966002,0.013865569999998328
7660,0.2,1,-5,1200.0,69.0,7770,job__13_039920__1200_000000__69_0,14573296,-9.22553271,1230.8624634332698,-9.22383271,13.039920074055445,0.0003200999999997123
7661,0.2,1,-5,1200.0,69.0,7770,job__13_184808__1200_000000__69_0,14573298,-9.26599957,1244.5214195044884,-9.26429957,13.184807943523353,0.015568220000000466
7662,0.2,1,-5,1200.0,69.0,7770,job__13_329696__1200_000000__69_0,14573300,-9.30103315,1258.1967647766119,-9.29933315,13.329696018884235,0.0003436800000002904
7663,0.2,1,-5,1200.0,69.0,7770,job__13_474584__1200_000000__69_0,14573302,-9.33095241,1271.864238118286,-9.32925241,13.47458391231667,0.015579159999999703
7664,0.2,1,-5,1200.0,69.0,7770,job__13_619472__1200_000000__69_0,14573304,-9.35605735,1285.5614762457042,-9.35435735,13.619471999757408,0.0003697299999991799
7665,0.2,1,-5,1200.0,69.0,7770,job__13_764360__1200_000000__69_0,14573306,-9.37663017,1299.216438514622,-9.37493017,13.764359906920996,1.0413622999999994
7666,0.2,1,-5,1200.0,69.0,7770,job__13_909248__1200_000000__69_0,14573308,-9.39293721,1312.9044166217668,-9.39123721,13.909247991834121,0.0003980700000010273
7667,0.2,1,-5,1200.0,69.0,7770,job__14_054136__1200_000000__69_0,14573310,-9.40522836,1326.5916337147537,-9.403528360000001,14.054136029839507,1.0775776799999992
7668,0.2,1,-5,1200.0,69.0,7770,job__14_199024__1200_000000__69_0,14573312,-9.41373921,1340.263228709107,-9.41203921,14.199024060447286,0.01537582999999998
7669,0.2,1,-5,1200.0,69.0,7770,job__14_343912__1200_000000__69_0,14573314,-9.41869271,1353.9503849209611,-9.41699271,14.343911931818813,1.1123265399999998
7670,0.2,1,-5,1200.0,69.0,7770,job__14_488800__1200_000000__69_0,14573316,-9.42029929,1367.6228261630579,-9.418599290000001,14.488799950481377,1.1291511099999987
7671,0.2,1,-5,1200.0,69.0,7770,job__14_633688__1200_000000__69_0,14573318,-9.4187568,1381.2863848479037,-9.417056800000001,14.633687975199452,0.00048310000000029163
7672,0.2,1,-5,1200.0,69.0,7770,job__14_778576__1200_000000__69_0,14573320,-9.4142529,1394.9604881449216,-9.4125529,14.778576068418321,1.1617090399999999
7673,0.2,1,-5,1200.0,69.0,7770,job__14_923464__1200_000000__69_0,14573322,-9.40696491,1408.6358090645917,-9.40526491,14.92346402915186,0.01490313000000043
7674,0.2,1,-5,1200.0,69.0,7770,job__15_068352__1200_000000__69_0,14573324,-9.39705954,1422.3222773196474,-9.395359540000001,15.068352061095965,0.014781479999999902
7675,0.2,1,-5,1200.0,69.0,7770,job__15_213240__1200_000000__69_0,14573326,-9.38469381,1435.9912422490709,-9.38299381,15.213240075089548,0.0005601199999993867
7676,0.2,1,-5,1200.0,69.0,7770,job__15_358128__1200_000000__69_0,14573328,-9.37001556,1449.6492120459409,-9.368315560000001,15.358127899215242,1.2225150500000002
7677,0.2,1,-5,1200.0,69.0,7770,job__15_503016__1200_000000__69_0,14573330,-9.35316488,1463.3539994338055,-9.35146488,15.50301596788761,0.00010323000000056481
7678,0.2,1,-5,1200.0,69.0,7770,job__15_647904__1200_000000__69_0,14573332,-9.33427394,1477.0181425775245,-9.33257394,15.647903909171479,0.0006227299999999047
7679,0.2,1,-5,1200.0,69.0,7770,job__15_792792__1200_000000__69_0,14573335,-9.31346847,1490.6896340739522,-9.31176847,15.792791934619842,0.01403842999999938
7680,0.2,1,-5,1200.0,69.0,7770,job__15_937680__1200_000000__69_0,14573336,-9.29086663,1504.3591834622491,-9.28916663,15.937679887966002,0.0006657800000002823
7681,0.2,1,-5,1200.0,71.0,8436,job__13_039920__1200_000000__71_0,14573339,-9.22556225,1230.8482416019624,-9.22386225,13.039920074055445,0.0003190499999998764
7682,0.2,1,-5,1200.0,71.0,8436,job__13_184808__1200_000000__71_0,14573341,-9.2660288,1244.5188803920528,-9.264328800000001,13.184807943523353,0.00033074999999982424
7683,0.2,1,-5,1200.0,71.0,8436,job__13_329696__1200_000000__71_0,14573342,-9.30106231,1258.2159670979656,-9.299362310000001,13.329696018884235,0.9842456599999991
7684,0.2,1,-5,1200.0,71.0,8436,job__13_474584__1200_000000__71_0,14573345,-9.33098127,1271.8919535862267,-9.329281270000001,13.47458391231667,1.0036428099999988
7685,0.2,1,-5,1200.0,71.0,8436,job__13_619472__1200_000000__71_0,14573346,-9.3560861,1285.5445320205301,-9.354386100000001,13.619471999757408,0.00036886999999907744
7686,0.2,1,-5,1200.0,71.0,8436,job__13_764360__1200_000000__71_0,14573348,-9.37665913,1299.236947174018,-9.37495913,13.764359906920996,0.01553438999999912
7687,0.2,1,-5,1200.0,71.0,8436,job__13_909248__1200_000000__71_0,14573350,-9.39296619,1312.9150794471252,-9.39126619,13.909247991834121,3.4000000148637355e-07
7688,0.2,1,-5,1200.0,71.0,8436,job__14_054136__1200_000000__71_0,14573352,-9.40525762,1326.591261514734,-9.40355762,14.054136029839507,0.00041326999999924396
7689,0.2,1,-5,1200.0,71.0,8436,job__14_199024__1200_000000__71_0,14573354,-9.41376839,1340.2585307520585,-9.41206839,14.199024060447286,0.01537626000000003
7690,0.2,1,-5,1200.0,71.0,8436,job__14_343912__1200_000000__71_0,14573356,-9.41872205,1353.9230954063999,-9.41702205,14.343911931818813,1.112294760000001
7691,0.2,1,-5,1200.0,71.0,8436,job__14_488800__1200_000000__71_0,14573358,-9.42032866,1367.6007079972396,-9.41862866,14.488799950481377,0.015216230000000053
7692,0.2,1,-5,1200.0,71.0,8436,job__14_633688__1200_000000__71_0,14573361,-9.41878664,1381.2916255717203,-9.41708664,14.633687975199452,1.1455792899999988
